ocean_0-700m,ocean_0-700m_error,ocean_700-2000m,ocean_700-2000m_error,ocean_>2000m,ocean_>2000m_error,ocean_full-depth_error,yrs,ocean_full-depth,antarctica,antarctica_error,greenland,greenland_error,glaciers,glaciers_error,seaice,seaice_error,iceshelf,iceshelf_error,cryosphere,cryosphere_error,atmosphere,atmosphere_error,land,land_error,Total,Total_error,units,error_units,pi_total
166.2278782,11.66968105,73.63056667,6.660339445,17.25,5.197568389,23.52758888,2006.5,257.1084448,0.271919086,0.768067156,0.529153996,0.278163215,1.633920485,0.745737809,2.502936542,0.5513004,2.502936542,0.5513004,6.774429108,1.296938774,3.983537555,0.196902961,14.60329294,1.578515828,282.4697044,23.61694248,ZJ,ZJ (1-sigma),112.660632
174.0257752,11.56798526,75.64616667,6.279004367,18.4,5.544072948,23.39106257,2007.5,268.0719419,0.307204349,0.769501731,0.609867901,0.280760797,1.693930265,0.749782357,3.038700675,0.5513004,3.038700675,0.5513004,7.622808191,1.309047303,3.915680051,0.196902961,15.15643167,1.60846144,294.7668618,23.48363967,ZJ,ZJ (1-sigma),115.8795072
182.064906,11.92599107,76.9385,5.797261745,19.55,5.890577508,23.61383032,2008.5,278.553406,0.344747485,0.771033812,0.690893529,0.283269075,1.753940045,0.753826904,2.702374706,0.5513004,2.702374706,0.5513004,7.601666765,1.321650249,2.579224467,0.196902961,15.7182641,1.638407052,304.4525614,23.70828738,ZJ,ZJ (1-sigma),119.0983824
187.3939804,11.65373016,80.37533333,5.542863526,20.7,6.237082067,23.43367575,2009.5,288.4693138,0.381173225,0.772799934,0.773688756,0.285944105,1.813949825,0.757871451,2.852433304,0.5513004,2.852433304,0.5513004,8.06756211,1.334867307,4.062604547,0.196902961,16.28879213,1.668352664,316.8882726,23.5317063,ZJ,ZJ (1-sigma),122.3172576
190.785827,11.70405069,84.94793333,5.527126529,21.85,6.583586626,23.81476385,2010.5,297.5837603,0.423601712,0.774636542,0.873626799,0.288622647,1.884101515,0.762195177,3.341260544,0.5513004,3.341260544,0.5513004,8.887811571,1.34981576,5.808587909,0.196902961,16.86801577,1.698298275,329.1481756,23.91417921,ZJ,ZJ (1-sigma),125.5361328
193.9456135,11.88046758,89.7207,5.607494425,23,6.930091185,24.41805319,2011.5,306.6663135,0.478825573,0.776042159,0.983092026,0.291261564,1.964395115,0.766798083,3.590198268,0.5513004,3.590198268,0.5513004,9.482933982,1.366341746,3.367365718,0.196902961,17.45593309,1.728243649,336.9725463,24.51803026,ZJ,ZJ (1-sigma),128.755008
201.7917496,12.26458927,97.04813333,6.371082221,24.15,7.276595745,25.91226724,2012.5,322.989883,0.533878693,0.7775054,1.09307699,0.294367009,2.044688715,0.771400989,3.639775026,0.5513004,3.639775026,0.5513004,9.879044425,1.383603134,3.881526709,0.196902961,18.05254793,1.758189261,354.803002,26.00942043,ZJ,ZJ (1-sigma),131.9738832
206.2807496,11.90504126,103.5261,6.781819734,25.3,7.623100304,26.30996129,2013.5,335.1068496,0.594546252,0.778765842,1.17682562,0.297663083,2.124982315,0.776003895,3.377082484,0.5513004,3.377082484,0.5513004,9.942263671,1.401372672,4.658410192,0.196902961,18.65785646,1.788134873,368.36538,26.40859909,ZJ,ZJ (1-sigma),135.1927584
213.9663117,11.20336453,110.0935333,7.604825951,26.45,7.969604863,26.77779535,2014.5,350.5098451,0.659747895,0.780029654,1.240502753,0.300164376,2.205275915,0.7806068,3.106642366,0.5513004,3.106642366,0.5513004,9.98219793,1.419536634,4.866319776,0.196902961,19.2718606,1.818080485,384.6302234,26.87767838,ZJ,ZJ (1-sigma),138.4116336
219.8111298,11.6889567,113.0288667,7.562031518,27.6,8.316109422,27.56709764,2015.5,360.4399965,0.71343382,0.781278653,1.302766365,0.30229122,2.285569515,0.785209706,3.072611943,0.5513004,3.072611943,0.5513004,10.24561264,1.43815435,5.980975509,0.196902961,19.89456034,1.848025858,396.5611449,27.66707666,ZJ,ZJ (1-sigma),141.6305088
229.3058914,12.07572144,117.1278667,8.337114624,28.75,8.662613982,29.07545005,2016.5,375.1837581,0.744110651,0.782735732,1.361595756,0.304378181,2.365863115,0.789812612,3.614928748,0.5513004,3.614928748,0.5513004,11.05893127,1.457396292,7.404185653,0.196902961,20.52595568,1.87797147,414.1728307,29.17312714,ZJ,ZJ (1-sigma),144.849384
232.5592563,11.71184764,118.8945333,8.498654874,29.9,9.009118541,29.21962105,2017.5,381.3537896,0.767036311,0.784286242,1.40208681,0.306273705,2.446156715,0.794415518,3.839199765,0.5513004,3.839199765,0.5513004,11.5281146,1.47714621,6.389283538,0.196902961,21.16604662,1.907917082,420.4372344,29.31973966,ZJ,ZJ (1-sigma),148.0682592
241.6168239,11.23630058,123.2848667,10.67503897,31.05,9.3556231,31.26696265,2018.5,395.9516906,0.806652886,0.785871923,1.440441132,0.308304861,2.526450315,0.799018423,3.542431487,0.5513004,3.542431487,0.5513004,11.49081282,1.497420295,5.631383777,0.196902961,21.81483126,1.937862694,434.8887185,31.36334331,ZJ,ZJ (1-sigma),151.2871344
